Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20054;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;225475;221527;291833;;86972;;;80938;141945;61007;40104;;13513;3948;;;;;10832;10766;;;1701;;;7712;17120;9408;1318;;35;66;;;;209;;;;;;;;;;;;;;;;;;530097
20053;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;202870;199136;272333;;85695;;;70099;133036;62937;39791;267;3284;3734;;;;;9717;9658;;;1720;;;6576;15690;9114;1327;;35;59;;;;209;;;;;;;;;;;;;;;;;;530097
20052;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;205000;200777;277377;;87310;;;66740;134692;67952;40041;3067;3619;4223;;;;;10312;10247;;;1730;;;7151;16111;8960;1330;;36;65;;;;209;;;;;;;;;;;;;;;;;;530097
20051;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;219291;215062;297500;;91230;;;80329;153166;72837;40186;;3317;4229;;;;;10538;10472;;;1759;;;7361;16664;9303;1316;;36;66;;;;209;;;;;;;;;;;;;;;;;;530097
20044;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;245486;241163;334441;;94138;;;98296;181940;83644;40229;;8500;4323;;;;;14095;14027;;;1801;;;10813;19332;8519;1376;;37;68;;;;209;;;;;;;;;;;;;;;;;;530097
20043;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;224771;220301;287125;;90138;;;86310;144642;58332;40305;;3548;4470;;;;;12235;12167;;;1825;;;8914;16540;7626;1391;;37;68;;;;209;;;;;;;;;;;;;;;;;;530097
20042;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;213274;209023;284333;;88923;;;75961;142771;66810;40341;;3798;4251;;;;;11112;11034;;;1854;;;7785;16745;8960;1364;;31;78;;;;209;;;;;;;;;;;;;;;;;;530097
20041;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;220557;216316;295167;;88895;;;84194;154786;70592;40373;;2854;4241;;;;;11267;11184;;;1897;;;7924;18320;10396;1332;;31;83;;;;209;;;;;;;;;;;;;;;;;;530097
20034;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;243811;239523;326000;;91152;;;105736;183471;77735;40427;;2208;4288;;;;;14216;14138;;;1969;;;10770;20219;9449;1371;;28;78;;;;209;;;;;;;;;;;;;;;;;;530097
20033;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;229708;224945;308500;;91554;;;90947;165645;74698;40503;;1941;4763;;;;;11437;11279;;;2040;;;7861;18583;10722;1378;;;158;;;;209;;;;;;;;;;;;;;;;;;530097
