Quartal,IVW-Nr.,Titel-Nr.,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20034,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3300334,3287983,3309292,3287983,,,,,,,,,,12351,,,,,1175,1158,,1158,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
20033,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3170805,3153967,3176300,3153967,,,,,,,,,,16838,,,,,1125,1125,,1125,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20032,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3153689,3141358,3160758,3141358,,,,,,,,,,12331,,,,,1142,1125,,1125,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
20031,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3159549,3142217,3174808,3142217,,,,,,,,,,17332,,,,,1108,1108,,1108,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20024,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3186692,3154708,3201641,3154708,,,,,,,,,,31984,,,,,1208,1183,,1183,,,,,,,,,,25,,,,401,,,,,,,,,,,,,,,,,,597953
20023,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3042622,3030108,3052733,3030108,,,,,,,,,,12514,,,,,1150,1150,,1150,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20022,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3034612,3019442,3040550,3019442,,,,,,,,,,15170,,,,,1150,1150,,1150,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20021,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2980039,2960267,2987717,2960267,,,,,,,,,,19772,,,,,1200,1200,,1200,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20014,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2939106,2921842,2944708,2921842,,,,,,,,,,17264,,,,,1133,1133,,1133,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20013,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2827953,2806550,2844667,2806550,,,,,,,,,,21403,,,,,1050,1050,,1050,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20012,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2820275,2780592,2832983,,,,,,,,,,,39683,,,,,1050,1050,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20011,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2745456,2702758,2754183,,,,,,,,,,,42698,,,,,1150,1150,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20004,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2708387,2678342,2716150,,,,,,,,,,,30045,,,,,1150,1117,,,,,,,,,,,,33,,,,401,,,,,,,,,,,,,,,,,,597953
20003,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2642840,2613175,2654000,,,,,,,,,,,29665,,,,,1017,1017,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20002,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2657866,2616950,2665208,,,,,,,,,,,40916,,,,,950,950,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
20001,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2638533,2599983,2647451,,,,,,,,,,,38550,,,,,1050,1050,,,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,597953
19994,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2628544,2600325,2637117,,,,,,,,,,,28219,,,,,1017,1000,,,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
19993,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2581238,2551392,2589808,,,,,,,,,,,29846,,,,,983,950,,,,,,,,,,,,33,,,,401,,,,,,,,,,,,,,,,,,597953
19992,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,2579837,2554133,2591517,,,,,,,,,,,25704,,,,,950,933,,,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
